ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018),Average Wage (2019),Average Wage Appx MOE (2014),Average Wage Appx MOE (2015),Average Wage Appx MOE (2016),Average Wage Appx MOE (2017),Average Wage Appx MOE (2018),Average Wage Appx MOE (2019)
"132052","Personal financial advisors",103601.28707933948,103958.54223207482,111919.08254696708,112008.96033071734,122318.00829204658,118528.95786794824,4809.0147005790295,4923.727872538589,5091.394919435564,4973.6323123569055,5508.961811446968,5113.395672967703
"132053","Insurance underwriters",63012.18716599456,62354.505256320816,65022.18666208044,67796.38931375809,70138.43584178697,71042.6544374774,4000.674673420204,3644.8622384670184,4538.628769322645,4368.180650596942,4307.026755738021,4638.267136926829
"132061","Financial examiners",87831.83237635391,86994.7738410135,79592.849448149,82029.10480375275,85817.35406984464,90694.80006196884,16188.680597718349,13053.050331154698,13497.446157589779,13909.34752472387,13249.732122636971,10910.238788121002
"132070","Credit counselors & loan officers",62629.45024066569,64758.38880641544,67116.71192996133,70804.8937385223,73939.82082795765,73856.32351023181,2752.8388542364314,2936.0958033941847,3014.386124834838,3202.1544199310356,3401.0060218853323,3191.881835069255
"132081","Tax examiners & collectors, & revenue agents",47486.42037518443,45805.042979563186,48047.7780574785,49036.088596662754,46712.86260306696,51634.215053907814,3636.4683421024433,3104.745172933455,3718.4737228106965,4368.773533022262,4117.219138190357,4645.850161378797
"132082","Tax preparers",27672.52142099562,28291.862576860818,30134.126721901976,29660.231458464736,32142.123823077964,28756.559746778785,3184.162634282404,3589.4852384856304,3627.026722805889,3403.7142775193934,3361.298474995807,3889.368634797351
"1320XX","Other financial specialists",,,,,98080.72862112064,97306.09479704562,,,,,13029.704407965166,9368.909466355535
"151211","Computer systems analysts",,,,,77237.25612018259,81228.99128654877,,,,,2023.6682466625746,1992.521412259006
"151212","Information security analysts",,,,,99255.28312032485,101150.19744755757,,,,,5194.184393062046,4758.166176569204
"151221","Computer and information research scientists",,,,,94807.30005530169,101896.40002083442,,,,,11368.420135387221,12269.83573620164
"151230","Computer support specialists",,,,,55567.94486305866,55972.282059867845,,,,,1325.1120765152075,1377.3423749527587
"151241","Computer network architects",,,,,95432.99220300168,90493.91047832044,,,,,4510.749405772149,4040.766402412834
"151244","Network and computer systems administrators",,,,,70080.64245976007,71770.62521377389,,,,,2469.77936362338,2326.2555760442265
"15124X","Database administrators and architects",,,,,79421.41349617914,78981.88517135436,,,,,3626.0012334971025,3602.6639754623798
"151251","Computer programmers",,,,,77866.92885289535,73110.1381951571,,,,,2232.269495099758,2451.2293099627395
"151252","Software developers",,,,,105223.46968687045,110696.91038700727,,,,,1606.143135665041,1536.5634725308869
"151253","Software quality assurance analysts and testers",,,,,67147.49640006834,69404.62660223247,,,,,3917.0967998706774,4017.39697848294
"151254","Web developers",,,,,50938.46175184039,54489.87251019664,,,,,3233.524474617931,3461.6818391814218
"151255","Web and digital interface designers",,,,,38712.05936631088,48760.91095964775,,,,,3463.5922771470205,4117.718818273889
"151299","Computer occupations, all other",,,,,66101.74828543983,62007.98619655156,,,,,1475.4223352892081,1560.6795268556664
"152011","Actuaries",118774.09348391145,114364.54905635562,142064.67542213883,138209.9050522648,140021.04362170087,135918.1147935466,12990.240205189295,16113.163650499208,19428.994614981657,18150.36311867896,15529.73244377077,16455.750668226658
"152031","Operations research analysts",69940.28425120898,72573.75020728643,71739.0468616705,74247.05742733163,74661.66134692084,78840.10592076073,2736.0575629835266,2929.6837052544424,2942.042472179518,2946.798405834954,2807.4708895171466,3225.982841746506
"1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",73074.31411594366,80377.00852719737,77724.74133500908,77950.62474832323,79857.2359153013,77867.41921351726,7314.446702662194,7496.097327206955,6543.598686639608,5820.89507248568,4186.988296163058,3288.5135925108657
"171011","Architects, except landscape and naval",,,,,77911.62260282584,81696.86285162486,,,,,4257.081135473914,3882.392945780437
"171012","Landscape architects",,,,,52836.31464534281,54456.73163702454,,,,,7045.448134978568,7118.1176754457765
"171020","Surveyors, cartographers, & photogrammetrists",47393.4386980257,46051.07323754393,50563.355241666475,54311.379221776806,49725.53949043212,51709.22086346702,4275.772554442545,4678.676027494885,4809.158943993711,6887.161121018274,4776.841188293946,5072.539172338993
"172011","Aerospace engineers",88182.42189959639,91498.8810652723,95748.8164192068,94435.08921754519,95947.27700832803,101915.59304499725,3831.664379128845,3803.0246999137535,3938.6109622086437,3915.036837896988,4185.200041191158,4176.516460483475
"172041","Chemical engineers",92330.39762734874,99244.59288357377,96454.61133147443,97350.46481389727,92904.13973775969,100278.08555760795,6344.409507916639,6678.66017650008,6526.688866108757,6895.395999956845,6446.850613172663,6275.28068465324
"172051","Civil engineers",74295.8196373762,75935.0004205355,79401.90209504268,78857.55425354744,81540.99757232209,84246.82561434887,2274.680406276507,2409.6193969439355,2346.8345533275597,2338.0920456951067,2463.6695876370222,2357.846407773523
"172061","Computer hardware engineers",86421.09036195787,88282.24677031247,89533.22123573111,92106.06635267792,100163.6409248512,100152.29772815006,6646.172560945236,6749.68224596821,7021.64415760382,7054.472650292366,8413.484448030329,7729.79528800619
"172070","Electrical & electronics engineers",82529.5949346059,86376.13120825343,85186.8987718864,90490.71496576333,89048.63706363979,94339.86791479739,2989.522596403328,2970.7711783295736,3007.5054453089297,3270.314198852147,3443.665000165719,3378.607605437589
"172081","Environmental engineers",72919.01201108715,70349.6918348411,73700.73442079072,72024.72297277235,70886.94268505926,83345.72904995331,6815.9075496239375,6178.979614537319,6391.966197381174,6991.21081407141,7546.694213452729,7663.478405823591
"1720XX","Biomedical & agricultural engineers",81276.00038635611,75222.40802599327,77510.10706489383,80305.84788907284,78369.45873308733,90971.31182955163,10194.558814490234,8910.368111372563,7877.451047151245,8818.208523608904,12048.684445404377,13281.68875880758
"172110","Industrial engineers, including health & safety",70612.02232452451,69498.97649219142,74427.05198233326,73447.43471005917,76063.06172777127,77727.81542297984,2610.199220376208,2393.9050015072676,2771.7557299644627,2372.765523982713,2533.084218279215,2477.1795719554025
"172121","Marine engineers & naval architects",70363.64670543875,74979.61135131425,80378.43860329776,82474.05256807093,76941.5125369967,69794.64341291481,8678.714083142853,9523.078105218949,9302.76363555279,10467.585436722022,6461.538175553849,10982.541220718615
"172131","Materials engineers",73543.60280521875,75580.53066766943,73303.23968384814,78418.28502780522,76487.7288673888,80663.17497623323,6194.872568336127,6146.946117956374,5140.173833411151,5427.557966501356,5970.016060729501,4788.677383292943
"172141","Mechanical engineers",72620.69191590324,77236.66062476876,78957.90716648725,80328.21645309123,79772.24291949141,84740.16447464247,2010.040247373611,2146.52095997158,2241.335344060989,2359.4420087411286,2182.089681664528,2222.5373440392527
"1721XX","Petroleum, mining & geological engineers, including mining safety engineers",122054.4502745168,123842.34458425592,128942.96448473936,121894.59653354142,111654.46197122405,128178.66237817652,12093.050653312,10962.93612875407,13353.692610188396,13666.178929086507,13545.67624218165,13353.543309245502
"1721YY","Miscellaneous engineers, including nuclear engineers",81987.74585041683,85558.8346885559,87132.69435443649,87750.02665072466,89355.49507616581,94626.51924413847,1922.8595358767614,1943.1630652096142,2115.484774650012,2011.5691558668527,2071.754554603403,2178.2851050904073
"173011","Architectural and civil drafters",,,,,47426.37505773672,45005.8795524913,,,,,3350.1268998376736,3646.247447417849
"17301X","Other drafters",,,,,46485.453612793,47301.84540703309,,,,,2586.6328348047778,2755.8836064706375
"173023","Electrical and electronic engineering technologists and technicians",,,,,53540.34918912635,52881.78169342046,,,,,2974.3131993657685,2546.26651499033
"17302X","Other engineering technologists and technicians, except drafters",,,,,50386.275107003865,50136.48492671623,,,,,1451.8847797941376,1524.8674239942502
"173031","Surveying & mapping technicians",40356.44869233359,38810.64733229216,39333.5973321698,41647.473264429034,40129.60018074531,45766.17189394646,3303.811041070968,4102.761918551535,2931.1642641213725,3705.634856872775,3029.8097812547503,3593.681783992535
