,Insitution
1101,Rogers Academy of Hair Design
1102,Rose-Hulman Institute of Technology
1103,University of Saint Francis-Fort Wayne
1104,Saint Mary-of-the-Woods College
1105,Saint Mary's College
1106,Saint Meinrad School of Theology
1107,Saint Elizabeth School of Nursing
1108,Taylor University
1109,Trine University
1110,Valparaiso University
1111,Vincennes Beauty College
1112,Vincennes University
1113,Wabash College
1114,Allen College
1115,Briar Cliff University
1116,Buena Vista University
1117,Capri College-Dubuque
1118,Capri College-Cedar Rapids
1119,Central College
1120,Clarke University
1121,Coe College
1122,Cornell College
1123,Des Moines Area Community College
1124,Divine Word College
1125,Dordt University
1126,Drake University
1127,University of Dubuque
1128,Ellsworth Community College
1129,Emmaus Bible College
1130,Eastern Iowa Community College District
1131,Faith Baptist Bible College and Theological Seminary
1132,Faust Institute of Cosmetology-Storm Lake
1133,Graceland University-Lamoni
1134,Grand View University
1135,Grinnell College
1136,Hamilton Technical College
1137,Hawkeye Community College
1138,American Hair Academy
1139,Indian Hills Community College
1140,Iowa Central Community College
1141,Iowa Lakes Community College
1142,UnityPoint Health-Des Moines School of Radiologic Technology
1143,American College of Hairstyling-Des Moines
1144,Iowa School of Beauty-Des Moines
1145,Iowa State University
1146,Iowa Wesleyan University
1147,Iowa Western Community College
1148,University of Iowa
1149,Kirkwood Community College
1150,La James International College-Cedar Falls
1151,La James International College-Johnston
1152,La James College of Hairstyling and Cosmetology
1153,La James International College-Ft Dodge
1154,Loras College
1155,Luther College
1156,Maharishi International University
1157,Marshalltown Community College
1158,Mercy College of Health Sciences
1159,Morningside College
1160,Mount Mercy University
1161,Ashford University
1162,North Iowa Area Community College
1163,University of Northern Iowa
1164,Northwestern College
1165,Northeast Iowa Community College
1166,Northwest Iowa Community College
1167,Des Moines University-Osteopathic Medical Center
1168,Iowa School of Beauty-Ottumwa
1169,Palmer College of Chiropractic
1170,PCI Academy-Ames
1171,Saint Ambrose University
1172,St Luke's College
1173,La James International College-Davenport
1174,La James International College-Iowa City
1175,Simpson College
1176,Southeastern Community College
1177,Southwestern Community College
1178,Capri College-Davenport
1179,Iowa School of Beauty-Sioux City
1180,E Q School of Hair Design
1181,Upper Iowa University
1182,Waldorf University
1183,Wartburg College
1184,Wartburg Theological Seminary
1185,The Salon Professional Academy-Cedar Falls
1186,Western Iowa Tech Community College
1187,William Penn University
1188,Allen County Community College
1189,Baker University
1190,Barton County Community College
1191,Benedictine College
1192,Bethany College
1193,Bethel College-North Newton
1194,Butler Community College
1195,Central Christian College of Kansas
1196,Cloud County Community College
1197,Coffeyville Community College
1198,Colby Community College
1199,Cowley County Community College
1200,Dodge City Community College
1201,Donnelly College
1202,Emporia State University
1203,Flint Hills Technical College
1204,Fort Hays State University
1205,Barclay College
1206,Friends University
1207,Fort Scott Community College
1208,Garden City Community College
1209,Haskell Indian Nations University
1210,Hays Academy of Hair Design
1211,Hesston College
1212,Hutchinson Community College
1213,Independence Community College
1214,Johnson County Community College
1215,Concorde Career College-Kansas City
1216,Kansas City Kansas Community College
1217,Kansas Christian College
1218,University of Kansas
1219,Newman University
1220,Old Town Barber College-Wichita
1221,Kansas State University
1222,Kansas Wesleyan University
1223,Washburn Institute of Technology
1224,Labette Community College
1225,Manhattan Area Technical College
1226,Manhattan Christian College
1227,McPherson College
1228,MidAmerica Nazarene University
1229,Neosho County Community College
1230,North Central Kansas Technical College
1231,Northwest Kansas Technical College
1232,Ottawa University-Ottawa
1233,Ottawa University-Kansas City
1234,Pittsburg State University
1235,Pratt Community College
1236,University of Saint Mary
1237,Salina Area Technical College
1238,Seward County Community College
1239,Sterling College
1240,Tabor College
1241,Washburn University
1242,Wichita State University-Campus of Applied Sciences and Technology
1243,Wichita State University
1244,Wichita Technical Institute
1245,Alice Lloyd College
1246,Asbury University
1247,Asbury Theological Seminary
1248,Ashland Community and Technical College
1249,Barrett and Company School of Hair Design
1250,Bellarmine University
1251,Berea College
1252,PJ's College of Cosmetology-Bowling Green
1253,Southcentral Kentucky Community and Technical College
1254,Brescia University
1255,Campbellsville University
1256,Bluegrass Community and Technical College
1257,Centre College
1258,Clear Creek Baptist Bible College
1259,Paul Mitchell the School-Lexington
1260,Galen College of Nursing-Louisville
1261,University of the Cumberlands
1262,Eastern Kentucky University
1263,Elizabethtown Community and Technical College
1264,Frontier Nursing University
1265,Georgetown College
1266,PJ's College of Cosmetology-Glasgow
1267,Hazard Community and Technical College
1268,Paul Mitchell the School-Louisville
1269,Henderson Community College
1270,Hopkinsville Community College
1271,Jefferson Community and Technical College
1272,Summit Salon Academy-Lexington
1273,American National University-Pikeville
1274,Kentucky Mountain Bible College
1275,Kentucky State University
1276,Kentucky Wesleyan College
1277,University of Kentucky
1278,Kentucky Christian University
1279,Lexington Theological Seminary
1280,Lindsey Wilson College
1281,University of Louisville
1282,Louisville Presbyterian Theological Seminary
1283,Madisonville Community College
1284,Maysville Community and Technical College
1285,Midway University
1286,Morehead State University
1287,Murray State University
1288,Gateway Community and Technical College
1289,Northern Kentucky University
1290,West Kentucky Community and Technical College
1291,University of Pikeville
1292,Big Sandy Community and Technical College
1293,Empire Beauty School-Chenoweth
1294,Empire Beauty School-Elizabethtown
1295,Empire Beauty School-Dixie
1296,Empire Beauty School-Florence
1297,Somerset Community College
1298,Southeast Kentucky Community
1299,The Southern Baptist Theological Seminary
1300,Spalding University
1301,Sullivan University
1302,Thomas More University
1303,Transylvania University
1304,Kentucky Community and Technical College System
1305,Union College
1306,Western Kentucky University
1307,Central Louisiana Technical Community College
1308,Ayers Career College
1309,Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology
1310,Baton Rouge School of Computers
1311,Bossier Parish Community College
1312,Centenary College of Louisiana
1313,Cloyd's Beauty School 1 Inc
